node,gas,method,model,config,basis,period,ref_col,pred_col,clip_zero,source_table,orig_R2_test,repro_diff,n,n_scored,R2,RMSE,MAE,MBE,nRMSE,pearson_r,CEN_level
5,PM2.5,ml,LightGBM,B,intersection,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5627652978486392,,18815,18815,0.6453040608658946,3.259225632031474,2.324071713152799,0.33539492060626536,35.182463520334245,0.8118934569297026,Marginal
5,PM2.5,ml,DNN,B,own,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5216073540567985,5.091692401038017e-09,3701,3701,0.5216073591484909,4.118955684321778,3.0769466820422844,1.3364510278513675,44.38307563302442,0.7685006051732879,Marginal
5,PM2.5,ml,DNN,B,intersection,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5216073540567985,,3701,3701,0.5216073591484909,4.118955684321778,3.0769466820422844,1.3364510278513675,44.38307563302442,0.7685006051732879,Marginal
5,PM2.5,ml,DNN,B,own,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5216073540567985,,18815,18815,0.6376459216123618,3.294222247639834,2.3494742897068157,0.09897441681540776,35.56024256695055,0.7991407591842788,Marginal
5,PM2.5,ml,DNN,B,intersection,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5216073540567985,,18815,18815,0.6376459216123618,3.294222247639834,2.3494742897068157,0.09897441681540776,35.56024256695055,0.7991407591842788,Marginal
5,PM2.5,ml,RF,C,own,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5797840303689652,0.0,3703,3703,0.5797840303689652,3.859355846563982,2.718693980911923,0.798203251301641,41.5852723617134,0.7758776867535038,Marginal
5,PM2.5,ml,RF,C,intersection,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5797840303689652,,3701,3701,0.579821674411464,3.860216807561817,2.719333570441683,0.7994641736509479,41.595080807017446,0.7759251408800236,Marginal
5,PM2.5,ml,RF,C,own,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5797840303689652,,18817,18817,0.6820040168305794,3.0858462980552726,2.181082812845476,0.15613273191028076,33.31078999208687,0.8264306031403275,Marginal
5,PM2.5,ml,RF,C,intersection,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5797840303689652,,18815,18815,0.6820128849649256,3.0859655979128244,2.1811514760670283,0.15631251041551614,33.31216808266864,0.8264372215199662,Marginal
5,PM2.5,ml,LightGBM,C,own,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5792303069091593,0.0,3703,3703,0.5792303069091593,3.8618977684531606,2.7762762940174137,1.0312937974024392,41.61266203975457,0.7826427069475853,Marginal
5,PM2.5,ml,LightGBM,C,intersection,test,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5792303069091593,,3701,3701,0.5792678085130082,3.8627601780893395,2.7770518734132694,1.0323308374036586,41.62248644454725,0.7826892847521957,Marginal
5,PM2.5,ml,LightGBM,C,own,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5792303069091593,,18817,18817,0.6704001981962416,3.1416438098927912,2.225074393858092,0.273693071424177,33.91310748277716,0.8207157307417083,Marginal
5,PM2.5,ml,LightGBM,C,intersection,full,pm2_5_high_met_one_ug_m3,-,False,tabla_maestra_resultados.csv,0.5792303069091593,,18815,18815,0.6704090211432887,3.141767024611736,2.2251683622632874,0.2738165305574515,33.91452946566788,0.8207226355461488,Marginal
