timestamp_utc,node_id,site,subsite,exposure,environment,latitude,longitude,no2_high_met_one_ug_m3,pm2_5_high_met_one_ug_m3
2025-04-17T04:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,18.1,7.0
2025-04-17T04:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,21.9,7.0
2025-04-17T04:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,27.0,7.0
2025-04-17T05:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,27.8,7.0
2025-04-17T05:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,25.1,7.0
2025-04-17T05:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,37.4,7.0
2025-04-17T05:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,47.3,7.0
2025-04-17T06:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,47.9,13.0
2025-04-17T06:15:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,48.3,13.0
2025-04-17T06:30:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,51.0,13.0
2025-04-17T06:45:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,45.6,13.0
2025-04-17T07:00:00Z,node_TH7_KEMP,King Edward Memorial Park,Glamis Road and A1203,Outdoor,Roadside - Urban Traffic,51.509477,-0.050541,46.8,10.0
