gas,config,model,n_train,n_test,n_features,R2_train,R2_test,RMSE,MAE,MBE,nRMSE,pearson_r,CEN_level,overfit_ratio,best_params,model_path
PM2.5,A,DNN,15114,3701,10,0.7056292480369565,0.4374646002442349,4.4665253476818885,3.3198714376107903,1.8719575346498607,48.12825082764337,0.7647896265304341,Marginal,1.6129973662851946,"{'lr': 0.005, 'hidden_dim_2': 64, 'hidden_dim_1': 32, 'epochs': 100, 'dropout': 0.2, 'batch_size': 128}",pm2.5_a_dnn.pt
PM2.5,B,RF,15114,3701,11,0.7079764491713796,0.5850616521779539,3.8360712142919406,2.7119246416651066,0.929796565188042,41.33490425392166,0.7806715444700695,Marginal,1.2100886232004138,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 5}",pm2.5_b_rf.joblib
PM2.5,B,LightGBM,15114,3701,11,0.6703674598669259,0.5627652978486392,3.937786683866724,2.8593141966575697,1.2633380454299423,42.43092123618,0.7799628563969303,Marginal,1.191202553586073,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'num_leaves': 31, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",pm2.5_b_lightgbm.joblib
PM2.5,B,DNN,15114,3701,11,0.6728821444684734,0.5216073540567985,4.118955706241486,3.0769467030432187,1.3364510395758151,44.38307586921635,0.7685006031780104,Marginal,1.2900165981846996,"{'lr': 0.0001, 'hidden_dim_2': 32, 'hidden_dim_1': 128, 'epochs': 200, 'dropout': 0.3, 'batch_size': 32}",pm2.5_b_dnn.pt
PM2.5,C,RF,15114,3703,8,0.7130442291511816,0.5797840303689652,3.859355846563982,2.718693980911923,0.7982032513016409,41.5852723617134,0.7758776867535038,Marginal,1.2298445486630802,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.8, 'max_depth': 5}",pm2.5_c_rf.joblib
PM2.5,C,LightGBM,15114,3703,8,0.6980847906745911,0.5792303069091593,3.861897768453161,2.7762762940174137,1.0312937974024392,41.61266203975457,0.7826427069475853,Marginal,1.2051938276497534,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 1.0, 'num_leaves': 31, 'n_estimators': 100, 'min_child_samples': 20, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",pm2.5_c_lightgbm.joblib
PM2.5,C,DNN,15114,3703,8,0.6603561839222256,0.5358923988262456,4.055906064468325,2.865021493027347,1.0282080358278098,43.70313727732704,0.7914233243592192,Marginal,1.2322551791527376,"{'lr': 0.005, 'hidden_dim_2': 32, 'hidden_dim_1': 128, 'epochs': 300, 'dropout': 0.2, 'batch_size': 64}",pm2.5_c_dnn.pt
NO2,A,XGBoost,13668,7255,12,0.8108606831024806,0.3044229609740068,12.093512985891074,8.586435116321608,-6.23411182088083,54.934649963897854,0.7247275117422544,Inaceptable,2.663598962798723,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 1.0, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",no2_a_xgboost.joblib
NO2,A,LSTM,13668,7255,12,0.5549782189004553,0.2039582100974396,13.178391035212623,9.172105965624596,-6.947621759975397,57.79021037836642,0.675284307386905,Inaceptable,2.721038876715569,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",no2_a_lstm.pt
NO2,B,XGBoost,13577,7255,13,0.8117696068144536,0.3728387707331809,11.48337263421879,8.1718840333004,-5.772759941240412,52.16309411514901,0.7463041340300943,Inaceptable,2.1772671474539056,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 1.0, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",no2_b_xgboost.joblib
NO2,B,LSTM,13577,7255,13,0.6690158617017854,-0.1084060763350385,15.550483800918812,11.434027798751796,-10.143602082512308,68.1923709760353,0.6034432867464845,Inaceptable,,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",no2_b_lstm.pt
NO2,C,XGBoost,14951,7971,8,0.455381856709197,0.1237983584703044,13.383294284623473,9.810655534481288,-7.426465735999603,61.79431141344581,0.7008741160185994,Inaceptable,3.67841595265118,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 1.0, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",no2_c_xgboost.joblib
NO2,C,LSTM,14951,7971,8,0.4850542994733818,0.3361225118419741,11.791190828581115,8.475464666992119,-6.212563466376909,52.3652216807412,0.7339501229465294,Inaceptable,1.4430878099037503,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",no2_c_lstm.pt
CO,A,XGBoost,13391,7094,12,0.9734665839225842,0.5701268377577746,48.57360858286802,34.76613351528432,-3.012914003937905,26.572456226550976,0.7956423857786858,Marginal,1.7074561649317996,"{'subsample': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 1.0, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",co_a_xgboost.joblib
CO,A,LSTM,13391,7094,12,0.8295729372555647,0.0064623600058731,75.37820378054157,59.17090198139051,-57.51939238850896,41.02952671686349,0.7676257417996885,Inaceptable,128.36996646760988,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",co_a_lstm.pt
CO,B,XGBoost,13391,7094,13,0.9690313695529512,0.4795775876865604,53.4451374703416,36.172777310367714,-14.61848973215942,29.237452546474945,0.7599062702793986,Marginal,2.020593527373688,"{'subsample': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 10, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",co_b_xgboost.joblib
CO,B,LSTM,13391,7094,13,0.7616025811733599,-0.1566675428714172,81.3313341198882,65.12949026551487,-60.429228400922106,44.26990799496242,0.7146085334524667,Inaceptable,,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",co_b_lstm.pt
CO,C,XGBoost,15390,7836,8,0.4250632777628481,0.1095971975028217,68.1694081259166,47.36373777902796,-7.786598654930243,38.019548739555226,0.3639959951072478,Inaceptable,3.878413750058749,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 1.0, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",co_c_xgboost.joblib
CO,C,LSTM,15390,7836,8,0.5318865051844419,-0.3901968570266407,84.29720253098486,55.89602058577307,-49.80486342778232,47.118256886797504,0.3309220866748706,Inaceptable,,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",co_c_lstm.pt
PM2.5,A,XGBoost,15114,3701,10,0.7192859413469943,0.6078683289123752,3.729158430023819,2.63014078507453,0.8689886317707918,40.18288452999725,0.7940559521936188,Marginal,1.1832923466073195,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",pm2.5_a_xgboost.joblib
PM2.5,A,LSTM,15114,3701,10,0.6649801383302609,0.5147492499978008,3.9812240884701056,2.8401207566323805,0.9315890110657986,41.35407340657166,0.7358953254613803,Marginal,1.2918525638125786,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",pm2.5_a_lstm.pt
PM2.5,B,XGBoost,15114,3701,11,0.7200108684233515,0.6186022494950483,3.677764682121834,2.576183065727768,0.7592763974839886,39.629100324723865,0.7979458771833399,Marginal,1.1639318625353867,"{'subsample': 0.8, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",pm2.5_b_xgboost.joblib
PM2.5,B,LSTM,15114,3701,11,0.6842143973397407,0.4021220479521236,4.419160597031368,3.2925484056677816,1.6229186115554946,45.90304078947011,0.7229329025113238,Marginal,1.701509282627554,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",pm2.5_b_lstm.pt
PM2.5,C,XGBoost,15114,3703,8,0.7183847417282276,0.5995626044700328,3.767435809495576,2.635366388053596,0.7904457542466821,40.5948169777167,0.7932586445979425,Marginal,1.1981813681712594,"{'subsample': 0.6, 'reg_lambda': 0.0, 'reg_alpha': 0.0, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",pm2.5_c_xgboost.joblib
PM2.5,C,LSTM,15114,3703,8,0.721603069330522,0.4449903851517638,4.257785404145987,3.150437206014264,1.6240702320532956,44.226792122154784,0.7340738861015128,Marginal,1.621614968342337,"{'lstm_units': 32, 'lr': 0.001, 'fc_dim': 64, 'epochs': 100, 'dropout': 0.3, 'batch_size': 32}",pm2.5_c_lstm.pt
O3,A,RF,13391,7094,12,0.979799940780887,-0.7733806199310127,23.40849206738148,20.718812451644883,19.65064851880549,73.70313232094499,0.7382832100850281,Inaceptable,,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 0.8, 'max_depth': 20}",o3_a_rf.joblib
